[10]2,1,0,-0.08333333333333333,,6
[0]1,1,0,0,,0
[1]1,0,0,0,,0
[2]1,0,0,0,,0
[3]1,0,0,0,,0
[4]1,0,0,0,,0
[5]1,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[1]1,1,0,0,,4
[9]2,1,0,0.4166666666666667,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[3]1,1,0,0,,0
[5]1,1,0,0,,6
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,1,0,-0.16666666666666666,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[9]2,4,0,-0.036458333333333336,,4
[0]1,1,0,0,,0
[1]1,1,0,0,,4
[8]2,0,0,0,,0
[10]2,1,0,0.020833333333333332,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[3]1,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,-0.1875,,0
[5]1,1,0,0,,6
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,-0.041666666666666664,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[10]2,4,0,-0.04166666666666667,,8
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,-0.020833333333333332,,0
|[1, 0]1|,1,0,0,,4
[8]2,1,0,0.1875,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 2]1|,1,0,0,,0
|[1, 3]1|,1,0,0,,5
[7]2,1,0,-0.20833333333333334,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 4]1|,0,0,0,,0
|[1, 5]1|,0,0,0,,0
[3]1,0,0,0,,0
[5]1,0,0,0,,0
[11]2,4,0,-0.08333333333333333,,9
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,0.10416666666666667,,0
[12]2,0,0,0,,0
|[1, 0]1|,1,0,0,,4
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,-0.041666666666666664,,0
[12]2,0,0,0,,0
|[1, 2]1|,1,0,0,,4
[8]2,0,0,0,,0
[9]2,1,0,-0.3125,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4]1|,0,0,0,,0
|[1, 5]1|,0,0,0,,0
[2]1,0,0,0,,0
[3]1,0,0,0,,0
[5]1,1,0,0,,0
[12]2,4,0,-0.09375,,9
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,1,0,0.020833333333333332,,0
|[1, 0]1|,1,0,0,,4
[8]2,1,0,-0.0625,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
|[1, 2]1|,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4]1|,1,0,0,,0
|[1, 5]1|,0,0,0,,0
[2]1,0,0,0,,0
[3]1,0,0,0,,0
[5]1,0,0,0,,0
|[2, 5]1|,21,0,0,,6
[7]2,4,0,-0.11458333333333333,,4
[0]1,1,0,0,,5
[8]2,1,0,-0.1875,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[1]1,1,0,0,,5
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,1,0,0.041666666666666664,,0
[3]1,1,0,0,,0
[4]1,1,0,0,,5
[8]2,1,0,-0.1875,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
[8]2,3,0,-0.22916666666666666,,19
[0]1,1,0,0,,4
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,1,0,-0.3958333333333333,,0
[12]2,0,0,0,,0
|[1, 0]1|,1,0,0,,5
[7]2,0,0,0,,0
[9]2,1,0,-0.08333333333333333,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 2]1|,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4, 0]1|,1,0,0,,0
|[1, 4, 2]1|,0,0,0,,0
|[1, 4, 3]1|,0,0,0,,0
|[1, 4, 5]1|,0,0,0,,0
|[1, 5, 0]1|,0,0,0,,0
|[1, 5, 2]1|,0,0,0,,0
|[1, 5, 3]1|,0,0,0,,0
|[1, 5, 4, 0]1|,0,0,0,,0
|[1, 5, 4, 2]1|,0,0,0,,0
|[1, 5, 4, 3]1|,0,0,0,,0
|[1, 5, 4, 5, 0]1|,0,0,0,,0
|[1, 5, 4, 5, 2]1|,0,0,0,,0
|[1, 5, 4, 5, 3]1|,0,0,0,,0
[3]1,0,0,0,,0
[4]1,0,0,0,,0
[9]2,3,0,-0.31249999999999994,,19
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[10]2,1,0,-0.5,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 0]1|,1,0,0,,5
[7]2,1,0,-0.10416666666666667,,0
[8]2,0,0,0,,0
[10]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 2]1|,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4, 0]1|,0,0,0,,0
|[1, 4, 2]1|,0,0,0,,0
|[1, 4, 3]1|,0,0,0,,0
|[1, 4, 5]1|,0,0,0,,0
|[1, 5, 0]1|,0,0,0,,0
|[1, 5, 2]1|,0,0,0,,0
|[1, 5, 3]1|,0,0,0,,0
|[1, 5, 4, 0]1|,0,0,0,,0
|[1, 5, 4, 2]1|,0,0,0,,0
|[1, 5, 4, 3]1|,0,0,0,,0
|[1, 5, 4, 5, 0]1|,1,0,0,,0
|[1, 5, 4, 5, 2]1|,0,0,0,,0
|[1, 5, 4, 5, 3]1|,0,0,0,,0
[3]1,0,0,0,,0
[4]1,0,0,0,,0
[10]2,4,0,-0.07291666666666666,,20
[0]1,1,0,0,,4
[8]2,0,0,0,,0
[9]2,1,0,-0.125,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 0]1|,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,1,0,-0.020833333333333332,,0
[12]2,0,0,0,,0
|[1, 2]1|,1,0,0,,5
[7]2,1,0,-0.0625,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[11]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4, 0]1|,0,0,0,,0
|[1, 4, 2]1|,0,0,0,,0
|[1, 4, 3]1|,0,0,0,,0
|[1, 4, 5]1|,1,0,0,,0
|[1, 5, 0]1|,0,0,0,,0
|[1, 5, 2]1|,0,0,0,,0
|[1, 5, 3]1|,0,0,0,,0
|[1, 5, 4, 0]1|,0,0,0,,0
|[1, 5, 4, 2]1|,0,0,0,,0
|[1, 5, 4, 3]1|,0,0,0,,0
|[1, 5, 4, 5, 0]1|,0,0,0,,0
|[1, 5, 4, 5, 2]1|,0,0,0,,0
|[1, 5, 4, 5, 3]1|,0,0,0,,0
[2]1,0,0,0,,0
[3]1,0,0,0,,0
[4]1,0,0,0,,0
[11]2,3,0,-0.15277777777777776,,20
[0]1,1,0,0,,0
|[1, 0]1|,1,0,0,,5
[7]2,0,0,0,,0
[8]2,0,0,0,,0
[9]2,0,0,0,,0
[10]2,1,0,-0.08333333333333333,,0
[12]2,0,0,0,,0
|[1, 2]1|,1,0,0,,5
[7]2,0,0,0,,0
[8]2,1,0,-0.25,,0
[9]2,0,0,0,,0
[10]2,0,0,0,,0
[12]2,0,0,0,,0
|[1, 3]1|,0,0,0,,0
|[1, 4, 0]1|,0,0,0,,0
|[1, 4, 2]1|,0,0,0,,0
|[1, 4, 3]1|,0,0,0,,0
